时间,网关,传感器,通道,值
2018-03-22 01:36:58.0,1100201607150029,1,64,0.080000
2018-03-22 01:36:58.0,1100201607150029,1,66,3.600000
2018-03-22 01:36:58.0,1100201607150029,1,67,6.900000
2018-03-22 01:36:58.0,1100201607150029,2,3,0.000000
2018-03-22 01:36:58.0,1100201607150029,2,4,0.000000
2018-03-22 01:36:58.0,1100201607150029,2,64,0.000000
2018-03-22 01:36:58.0,1100201607150029,2,66,0.000000
2018-03-22 01:36:58.0,1100201607150029,2,67,0.000000
2018-03-22 01:36:58.0,1100201607150029,3,1,14.000000
2018-03-22 01:36:58.0,1100201607150029,3,2,90.000000
2018-03-22 01:36:58.0,1100201607150029,3,4,14.500000
2018-03-22 01:36:58.0,1100201607150029,3,5,0.118000
2018-03-22 01:36:58.0,1100201607150029,3,20,506.000000
2018-03-22 01:36:58.0,1100201607150029,4,1,14.100000
2018-03-22 01:36:58.0,1100201607150029,4,2,88.700000
2018-03-22 01:36:58.0,1100201607150029,4,4,16.100000
2018-03-22 01:36:58.0,1100201607150029,4,5,0.165000
2018-03-22 01:36:58.0,1100201607150029,4,20,512.000000
2018-03-22 01:39:02.0,1100201607150029,1,3,0.000000
2018-03-22 01:39:02.0,1100201607150029,1,4,18.300000
2018-03-22 01:39:02.0,1100201607150029,1,64,0.080000
2018-03-22 01:39:02.0,1100201607150029,1,66,3.600000
2018-03-22 01:39:02.0,1100201607150029,1,67,6.900000
2018-03-22 01:39:02.0,1100201607150029,2,3,0.000000
2018-03-22 01:39:02.0,1100201607150029,2,4,0.000000
2018-03-22 01:39:02.0,1100201607150029,2,64,0.000000
2018-03-22 01:39:02.0,1100201607150029,2,66,0.000000
2018-03-22 01:39:02.0,1100201607150029,2,67,0.000000
2018-03-22 01:39:02.0,1100201607150029,3,1,14.000000
2018-03-22 01:39:02.0,1100201607150029,3,2,90.100000
2018-03-22 01:39:02.0,1100201607150029,3,4,14.500000
2018-03-22 01:39:02.0,1100201607150029,3,5,0.116000
2018-03-22 01:39:02.0,1100201607150029,3,20,507.000000
2018-03-22 01:39:02.0,1100201607150029,4,1,14.100000
2018-03-22 01:39:02.0,1100201607150029,4,2,88.700000
2018-03-22 01:39:02.0,1100201607150029,4,4,16.100000
2018-03-22 01:39:02.0,1100201607150029,4,5,0.162000
2018-03-22 01:39:02.0,1100201607150029,4,20,514.000000
2018-03-22 01:41:04.0,1100201607150029,1,3,2.000000
2018-03-22 01:41:04.0,1100201607150029,1,4,16.600000
2018-03-22 01:41:04.0,1100201607150029,1,64,0.080000
2018-03-22 01:41:04.0,1100201607150029,1,66,3.600000
2018-03-22 01:41:04.0,1100201607150029,1,67,6.900000
2018-03-22 01:41:04.0,1100201607150029,2,3,0.000000
2018-03-22 01:41:04.0,1100201607150029,2,4,0.000000
2018-03-22 01:41:04.0,1100201607150029,2,64,0.000000
2018-03-22 01:41:04.0,1100201607150029,2,66,0.000000
2018-03-22 01:41:04.0,1100201607150029,2,67,0.000000
2018-03-22 01:41:05.0,1100201607150029,3,1,14.000000
2018-03-22 01:41:05.0,1100201607150029,3,2,90.200000
2018-03-22 01:41:05.0,1100201607150029,3,4,14.500000
2018-03-22 01:41:05.0,1100201607150029,3,5,0.117000
2018-03-22 01:41:05.0,1100201607150029,3,20,504.000000
2018-03-22 01:41:05.0,1100201607150029,4,1,14.100000
2018-03-22 01:41:05.0,1100201607150029,4,2,88.700000
2018-03-22 01:41:05.0,1100201607150029,4,4,16.100000
2018-03-22 01:41:05.0,1100201607150029,4,5,0.163000
2018-03-22 01:41:05.0,1100201607150029,4,20,516.000000
2018-03-22 01:43:08.0,1100201607150029,1,3,0.000000
2018-03-22 01:43:08.0,1100201607150029,1,4,18.400000
2018-03-22 01:43:08.0,1100201607150029,1,64,0.070000
2018-03-22 01:43:08.0,1100201607150029,1,66,3.600000
2018-03-22 01:43:08.0,1100201607150029,1,67,6.900000
2018-03-22 01:43:08.0,1100201607150029,2,3,0.000000
2018-03-22 01:43:08.0,1100201607150029,2,4,0.000000
2018-03-22 01:43:08.0,1100201607150029,2,64,0.000000
2018-03-22 01:43:08.0,1100201607150029,2,66,0.000000
2018-03-22 01:43:08.0,1100201607150029,2,67,0.000000
2018-03-22 01:43:08.0,1100201607150029,3,1,14.000000
2018-03-22 01:43:08.0,1100201607150029,3,2,90.300000
2018-03-22 01:43:08.0,1100201607150029,3,4,14.500000
2018-03-22 01:43:08.0,1100201607150029,3,5,0.117000
2018-03-22 01:43:08.0,1100201607150029,3,20,503.000000
2018-03-22 01:43:09.0,1100201607150029,4,1,14.100000
2018-03-22 01:43:09.0,1100201607150029,4,2,88.700000
2018-03-22 01:43:09.0,1100201607150029,4,4,16.100000
2018-03-22 01:43:09.0,1100201607150029,4,5,0.162000
2018-03-22 01:43:09.0,1100201607150029,4,20,518.000000
2018-03-22 01:45:12.0,1100201607150029,1,3,0.000000
